window,type,crisis_count
0,random,7
0,random,8
0,random,5
0,random,4
0,random,14
0,random,17
0,random,7
0,random,1
0,random,7
0,random,7
0,random,3
0,random,10
0,random,12
0,random,4
0,random,16
0,random,6
0,random,15
0,random,10
0,random,5
0,random,2
0,random,8
0,random,1
0,random,6
0,random,0
0,random,4
0,random,1
0,random,0
0,random,9
0,random,6
0,random,0
0,random,9
0,random,1
0,random,8
0,random,8
0,random,8
0,random,5
0,random,5
0,random,8
0,random,4
0,random,10
0,random,15
0,random,10
0,random,7
0,random,6
0,random,18
0,random,18
0,random,0
0,random,8
0,random,5
0,random,0
0,random,5
0,random,6
0,random,14
0,random,12
0,random,8
0,random,6
0,random,11
0,random,0
0,random,2
0,random,8
0,random,1
0,random,7
0,random,8
0,random,7
0,random,7
0,random,11
0,random,1
0,random,3
0,random,0
0,random,5
0,random,16
0,random,8
0,random,19
0,random,0
0,random,12
0,random,9
0,random,1
0,random,20
0,random,15
0,random,16
0,random,15
0,random,15
0,random,17
0,random,4
0,random,4
0,random,23
0,random,17
0,random,3
0,random,1
0,random,7
0,random,4
0,random,9
0,random,5
0,random,15
0,random,7
0,random,19
0,random,5
0,random,2
0,random,18
0,random,17
0,random,1
0,random,1
0,random,3
0,random,6
0,random,1
0,random,11
0,random,0
0,random,0
0,random,13
0,random,1
0,random,1
0,random,13
0,random,4
0,random,15
0,random,15
0,random,16
0,random,7
0,random,9
0,random,10
0,random,1
0,random,19
0,random,1
0,random,15
0,random,17
0,random,2
0,random,3
0,random,4
0,random,4
0,random,10
0,random,1
0,random,8
0,random,6
0,random,1
0,random,1
0,random,16
0,random,7
0,random,7
0,random,8
0,random,15
0,random,3
0,random,2
0,random,21
0,random,6
0,random,1
0,random,9
0,random,18
0,random,6
0,random,11
0,random,1
0,random,12
0,random,16
0,random,3
0,random,4
0,random,20
0,random,13
0,random,0
0,random,5
0,random,22
0,random,9
0,random,0
0,random,12
0,random,5
0,random,6
0,random,2
0,random,12
0,random,13
0,random,15
0,random,10
0,random,6
0,random,4
0,random,11
0,random,5
0,random,16
0,random,2
0,random,17
0,random,0
0,random,1
0,random,1
0,random,8
0,random,11
0,random,15
0,random,16
0,random,20
0,random,1
0,random,4
0,random,17
0,random,1
0,random,4
0,random,14
0,random,6
0,random,11
0,random,3
0,random,0
0,random,4
0,random,13
0,random,7
0,random,6
0,random,2
0,random,8
0,random,6
0,random,18
0,random,3
0,random,17
0,random,12
0,random,11
0,random,6
0,random,6
0,random,12
0,random,2
0,random,4
0,random,19
0,random,4
0,random,6
0,random,6
0,random,0
0,random,7
0,random,12
0,random,8
0,random,17
0,random,0
0,random,0
0,random,6
0,random,18
0,random,7
0,random,0
0,random,7
10,volcano,17
10,volcano,20
10,volcano,21
10,volcano,5
10,volcano,22
10,volcano,9
10,volcano,13
10,volcano,12
10,volcano,17
10,volcano,17
10,volcano,15
10,volcano,15
10,volcano,17
10,volcano,20
10,volcano,17
10,volcano,20
10,volcano,13
10,volcano,12
10,volcano,12
10,volcano,8
10,volcano,6
10,volcano,7
10,volcano,8
10,volcano,5
10,volcano,0
10,volcano,1
10,volcano,1
10,volcano,1
10,volcano,1
10,volcano,0
10,volcano,2
10,volcano,2
10,random,1
10,random,19
10,random,11
10,random,0
10,random,20
10,random,12
10,random,8
10,random,0
10,random,3
10,random,1
10,random,9
10,random,8
10,random,1
10,random,16
10,random,13
10,random,8
10,random,1
10,random,0
10,random,6
10,random,6
10,random,5
10,random,1
10,random,5
10,random,2
10,random,5
10,random,7
10,random,4
10,random,4
10,random,3
10,random,11
10,random,16
10,random,19
10,random,1
10,random,8
10,random,8
10,random,1
10,random,8
10,random,6
10,random,2
10,random,6
10,random,4
10,random,8
10,random,5
10,random,3
10,random,6
10,random,1
10,random,18
10,random,0
10,random,12
10,random,5
10,random,4
10,random,18
10,random,11
10,random,0
10,random,23
10,random,8
10,random,18
10,random,3
10,random,2
10,random,22
10,random,5
10,random,1
10,random,13
10,random,17
10,random,4
10,random,0
10,random,2
10,random,1
10,random,0
10,random,16
10,random,1
10,random,1
10,random,6
10,random,17
10,random,0
10,random,6
10,random,6
10,random,8
10,random,3
10,random,0
10,random,16
10,random,7
10,random,11
10,random,2
10,random,11
10,random,7
10,random,15
10,random,0
10,random,5
10,random,3
10,random,3
10,random,8
10,random,18
10,random,0
10,random,1
10,random,1
10,random,2
10,random,3
10,random,1
10,random,5
10,random,1
10,random,17
10,random,4
10,random,3
10,random,13
10,random,0
10,random,3
10,random,12
10,random,12
10,random,8
10,random,5
10,random,4
10,random,9
10,random,8
10,random,15
10,random,5
10,random,5
10,random,3
10,random,3
10,random,6
10,random,12
10,random,8
10,random,4
10,random,15
10,random,8
10,random,4
10,random,1
10,random,18
10,random,1
10,random,5
10,random,20
10,random,18
10,random,3
10,random,12
10,random,20
10,random,5
10,random,4
10,random,14
10,random,22
10,random,3
10,random,19
10,random,7
10,random,12
10,random,1
10,random,7
10,random,15
10,random,1
10,random,23
10,random,2
10,random,4
10,random,4
10,random,18
10,random,2
10,random,13
10,random,19
10,random,1
10,random,17
10,random,8
10,random,8
10,random,2
10,random,4
10,random,14
10,random,1
10,random,12
10,random,1
10,random,19
10,random,19
10,random,3
10,random,5
10,random,1
10,random,5
10,random,6
10,random,5
10,random,2
10,random,10
10,random,8
10,random,4
10,random,6
10,random,1
10,random,6
10,random,5
10,random,7
10,random,8
10,random,5
10,random,15
10,random,15
10,random,2
10,random,1
10,random,0
10,random,15
10,random,6
10,random,16
10,random,11
10,random,15
10,random,6
10,random,12
10,random,3
10,random,8
10,random,1
10,random,11
10,random,3
10,random,16
10,random,3
10,random,5
10,random,18
10,random,19
10,random,2
10,random,12
10,random,6
10,random,0
10,random,9
10,random,7
10,random,18
10,random,5
10,random,12
10,random,17
10,random,1
10,random,15
10,random,2
10,random,4
10,random,16
10,random,3
10,random,3
10,random,11
10,random,5
10,random,1
10,random,20
10,random,0
10,random,3
10,random,19
10,random,1
10,random,6
10,random,14
10,random,2
10,random,1
10,random,9
10,random,0
10,random,10
10,random,0
10,random,4
10,random,9
10,random,5
10,random,0
10,random,20
10,random,6
10,random,0
10,random,8
10,random,19
10,random,2
10,random,20
10,random,1
10,random,12
10,random,1
10,random,0
10,random,2
10,random,8
10,random,1
10,random,6
10,random,1
10,random,12
10,random,18
10,random,0
10,random,7
10,random,5
10,random,1
10,random,4
10,random,5
10,random,20
10,random,18
10,random,8
10,random,3
10,random,7
10,random,2
10,random,6
10,random,6
10,random,14
10,random,0
10,random,12
10,random,19
10,random,5
10,random,1
10,random,6
10,random,7
10,random,1
10,random,8
10,random,14
10,random,13
10,random,8
10,random,18
10,random,8
10,random,1
10,random,1
10,random,4
10,random,5
10,random,1
10,random,17
10,random,18
10,random,19
10,random,1
10,random,13
10,random,1
10,random,3
10,random,17
10,random,6
10,random,8
10,random,11
10,random,10
10,random,0
10,random,1
10,random,1
10,random,18
10,random,21
10,random,1
10,random,3
10,random,3
10,random,0
10,random,0
10,random,17
10,random,6
10,random,1
10,random,0
10,random,4
10,random,1
10,random,4
10,random,0
10,random,3
10,random,0
10,random,1
10,random,4
10,random,1
10,random,15
10,random,13
10,random,15
10,random,3
10,random,1
10,random,8
10,random,12
10,random,15
10,random,3
10,random,18
10,random,5
10,random,14
10,random,13
10,random,4
10,random,11
10,random,6
10,random,9
10,random,7
10,random,8
10,random,6
10,random,3
10,random,4
10,random,7
10,random,4
10,random,12
10,random,20
10,random,6
10,random,3
10,random,5
10,random,0
10,random,5
10,random,11
10,random,4
10,random,2
10,random,1
10,random,17
10,random,1
10,random,3
10,random,4
10,random,18
10,random,9
10,random,3
10,random,17
10,random,5
10,random,21
10,random,18
10,random,0
10,random,17
10,random,7
10,random,14
10,random,16
10,random,16
10,random,6
10,random,1
10,random,7
10,random,4
10,random,7
10,random,16
10,random,1
10,random,3
10,random,9
10,random,0
10,random,0
10,random,1
10,random,17
10,random,12
10,random,0
10,random,3
10,random,12
10,random,0
10,random,1
10,random,13
10,random,5
10,random,1
10,random,23
10,random,6
10,random,7
10,random,3
10,random,0
10,random,15
10,random,3
10,random,6
10,random,3
10,random,15
10,random,17
10,random,20
10,random,20
10,random,8
10,random,8
10,random,17
10,random,1
10,random,1
10,random,5
10,random,1
10,random,0
10,random,17
10,random,21
10,random,6
10,random,5
10,random,1
10,random,4
10,random,14
10,random,2
10,random,13
10,random,8
10,random,16
10,random,12
10,random,1
10,random,8
10,random,0
10,random,7
10,random,6
10,random,13
10,random,1
10,random,1
10,random,20
10,random,1
10,random,6
10,random,12
10,random,13
10,random,3
10,random,1
10,random,7
10,random,8
10,random,3
10,random,3
10,random,13
10,random,7
10,random,16
10,random,6
10,random,5
10,random,5
10,random,1
10,random,3
10,random,1
10,random,21
10,random,5
10,random,1
10,random,5
10,random,13
10,random,23
10,random,5
10,random,8
10,random,9
10,random,16
10,random,1
10,random,14
10,random,16
10,random,16
10,random,19
10,random,4
10,random,15
10,random,0
10,random,0
10,random,1
10,random,6
10,random,5
10,random,10
10,random,5
10,random,20
10,random,1
10,random,3
10,random,3
10,random,20
10,random,0
10,random,1
10,random,0
10,random,6
10,random,15
10,random,5
10,random,17
10,random,8
10,random,12
10,random,22
10,random,5
10,random,4
10,random,18
10,random,4
10,random,16
10,random,23
10,random,14
10,random,6
10,random,16
10,random,14
10,random,8
10,random,0
10,random,5
10,random,4
10,random,4
10,random,1
10,random,7
10,random,1
10,random,0
10,random,16
10,random,16
10,random,5
10,random,1
10,random,4
10,random,16
10,random,18
10,random,5
10,random,4
10,random,1
10,random,8
10,random,4
10,random,12
10,random,2
10,random,6
10,random,5
10,random,0
10,random,5
10,random,0
10,random,0
10,random,5
10,random,11
10,random,9
10,random,2
10,random,17
10,random,19
10,random,17
10,random,3
10,random,7
10,random,1
10,random,1
10,random,0
10,random,4
10,random,3
10,random,3
10,random,5
10,random,16
10,random,5
10,random,17
10,random,6
10,random,17
10,random,1
10,random,5
10,random,7
10,random,17
10,random,3
10,random,2
10,random,1
10,random,7
10,random,1
10,random,17
10,random,21
10,random,5
10,random,0
10,random,2
10,random,0
10,random,9
10,random,5
10,random,5
10,random,16
10,random,11
10,random,4
10,random,16
10,random,6
10,random,6
10,random,5
10,random,5
10,random,6
10,random,6
10,random,5
10,random,19
10,random,15
10,random,5
10,random,12
10,random,6
10,random,7
10,random,0
10,random,23
10,random,4
10,random,14
10,random,8
10,random,17
10,random,8
10,random,23
10,random,19
10,random,16
10,random,19
10,random,13
10,random,4
10,random,1
10,random,20
10,random,1
10,random,8
10,random,3
10,random,2
10,random,12
10,random,4
10,random,12
10,random,1
10,random,16
10,random,1
10,random,5
10,random,17
10,random,11
10,random,19
10,random,1
10,random,9
10,random,11
10,random,8
10,random,5
10,random,4
10,random,8
10,random,8
10,random,7
10,random,17
10,random,6
10,random,18
10,random,15
10,random,6
10,random,4
10,random,3
10,random,2
10,random,1
10,random,0
10,random,1
10,random,14
10,random,6
10,random,12
10,random,1
10,random,3
10,random,1
10,random,5
10,random,3
10,random,13
10,random,4
10,random,11
10,random,7
10,random,1
10,random,0
10,random,4
10,random,4
10,random,0
10,random,15
10,random,11
10,random,3
10,random,0
10,random,2
10,random,7
10,random,1
10,random,7
10,random,19
10,random,3
10,random,17
10,random,6
10,random,8
10,random,5
10,random,4
10,random,18
10,random,4
10,random,8
10,random,1
10,random,18
10,random,20
10,random,6
10,random,5
10,random,7
10,random,8
10,random,4
10,random,3
10,random,6
10,random,19
10,random,18
10,random,9
10,random,18
10,random,5
10,random,1
10,random,2
10,random,8
10,random,0
10,random,18
10,random,8
10,random,1
10,random,0
10,random,0
10,random,17
10,random,0
10,random,1
10,random,0
10,random,8
10,random,6
10,random,21
10,random,1
10,random,3
10,random,0
10,random,5
10,random,1
10,random,2
10,random,20
10,random,6
10,random,3
10,random,5
10,random,4
10,random,17
10,random,6
10,random,18
10,random,1
10,random,6
10,random,0
10,random,2
10,random,3
10,random,9
10,random,6
10,random,16
10,random,3
10,random,2
10,random,5
10,random,7
10,random,4
10,random,4
10,random,5
10,random,7
10,random,6
10,random,21
10,random,17
10,random,0
10,random,3
10,random,15
10,random,2
10,random,5
10,random,4
10,random,1
10,random,16
10,random,8
10,random,3
10,random,6
10,random,18
10,random,7
10,random,15
10,random,17
10,random,1
10,random,4
10,random,6
10,random,7
10,random,0
10,random,8
10,random,18
10,random,1
10,random,0
10,random,6
10,random,7
10,random,8
10,random,5
10,random,6
10,random,15
10,random,20
10,random,9
10,random,1
10,random,7
10,random,9
10,random,4
10,random,10
10,random,13
10,random,5
10,random,17
10,random,6
10,random,17
10,random,11
10,random,5
10,random,2
10,random,8
10,random,3
10,random,6
10,random,1
10,random,4
10,random,1
10,random,0
10,random,9
10,random,8
10,random,0
10,random,9
10,random,1
10,random,8
10,random,9
10,random,8
10,random,5
10,random,5
10,random,8
10,random,4
10,random,12
10,random,16
10,random,12
10,random,7
10,random,8
10,random,21
10,random,18
10,random,0
10,random,8
10,random,5
10,random,0
10,random,5
10,random,6
10,random,14
10,random,12
10,random,8
10,random,8
10,random,11
10,random,0
10,random,2
10,random,8
10,random,1
10,random,7
10,random,8
10,random,8
10,random,7
10,random,11
10,random,1
10,random,3
10,random,0
10,random,5
10,random,16
10,random,8
10,random,19
10,random,0
10,random,12
10,random,9
10,random,1
10,random,20
10,random,17
10,random,16
10,random,15
10,random,15
10,random,17
10,random,5
10,random,4
10,random,23
10,random,17
10,random,3
10,random,3
10,random,8
10,random,5
10,random,10
10,random,5
10,random,16
10,random,7
10,random,19
10,random,5
10,random,2
10,random,18
10,random,20
10,random,1
10,random,1
10,random,3
10,random,6
10,random,1
10,random,11
10,random,1
10,random,0
10,random,14
10,random,1
10,random,3
10,random,13
10,random,6
10,random,16
10,random,17
10,random,17
10,random,7
10,random,9
10,random,10
10,random,1
10,random,19
10,random,1
10,random,15
10,random,18
10,random,2
10,random,3
10,random,5
10,random,4
10,random,10
10,random,1
10,random,8
10,random,6
10,random,1
10,random,1
10,random,16
10,random,7
10,random,7
10,random,8
10,random,16
10,random,3
10,random,2
10,random,21
10,random,7
10,random,1
10,random,9
10,random,21
10,random,7
10,random,13
10,random,1
10,random,14
10,random,17
10,random,3
10,random,4
10,random,21
10,random,15
10,random,0
10,random,5
10,random,23
10,random,11
10,random,0
10,random,13
10,random,5
10,random,6
10,random,2
10,random,12
10,random,13
10,random,17
10,random,10
10,random,6
10,random,6
10,random,11
10,random,6
10,random,16
10,random,2
10,random,20
10,random,0
10,random,1
10,random,1
10,random,9
10,random,12
10,random,15
10,random,18
10,random,22
10,random,1
10,random,4
10,random,17
10,random,1
10,random,4
10,random,15
10,random,6
10,random,11
10,random,3
10,random,0
10,random,4
10,random,14
10,random,8
10,random,6
10,random,3
10,random,8
10,random,6
10,random,18
10,random,3
10,random,17
10,random,12
10,random,11
10,random,6
10,random,8
10,random,13
10,random,2
10,random,4
10,random,19
10,random,4
10,random,6
10,random,6
10,random,0
10,random,7
10,random,12
10,random,8
10,random,17
10,random,0
10,random,0
10,random,7
10,random,19
10,random,7
10,random,0
10,random,7
10,random,3
10,random,2
20,volcano,17
20,volcano,20
20,volcano,22
20,volcano,5
20,volcano,22
20,volcano,10
20,volcano,13
20,volcano,13
20,volcano,17
20,volcano,17
20,volcano,15
20,volcano,16
20,volcano,18
20,volcano,20
20,volcano,17
20,volcano,22
20,volcano,16
20,volcano,12
20,volcano,12
20,volcano,8
20,volcano,6
20,volcano,8
20,volcano,8
20,volcano,6
20,volcano,0
20,volcano,1
20,volcano,1
20,volcano,1
20,volcano,1
20,volcano,0
20,volcano,2
20,volcano,2
20,random,1
20,random,19
20,random,11
20,random,1
20,random,22
20,random,12
20,random,8
20,random,2
20,random,3
20,random,1
20,random,9
20,random,8
20,random,1
20,random,18
20,random,15
20,random,8
20,random,1
20,random,0
20,random,6
20,random,6
20,random,6
20,random,1
20,random,5
20,random,2
20,random,5
20,random,7
20,random,4
20,random,4
20,random,3
20,random,11
20,random,16
20,random,19
20,random,1
20,random,8
20,random,8
20,random,1
20,random,8
20,random,7
20,random,2
20,random,6
20,random,4
20,random,8
20,random,6
20,random,3
20,random,6
20,random,1
20,random,20
20,random,0
20,random,12
20,random,5
20,random,4
20,random,18
20,random,11
20,random,0
20,random,23
20,random,8
20,random,18
20,random,3
20,random,2
20,random,23
20,random,6
20,random,1
20,random,14
20,random,18
20,random,4
20,random,0
20,random,2
20,random,1
20,random,0
20,random,17
20,random,1
20,random,1
20,random,7
20,random,19
20,random,0
20,random,6
20,random,6
20,random,8
20,random,3
20,random,0
20,random,17
20,random,9
20,random,12
20,random,2
20,random,12
20,random,8
20,random,16
20,random,0
20,random,5
20,random,4
20,random,4
20,random,8
20,random,18
20,random,0
20,random,1
20,random,1
20,random,2
20,random,3
20,random,1
20,random,5
20,random,1
20,random,18
20,random,4
20,random,3
20,random,13
20,random,0
20,random,4
20,random,12
20,random,12
20,random,8
20,random,5
20,random,4
20,random,9
20,random,8
20,random,16
20,random,6
20,random,6
20,random,3
20,random,3
20,random,6
20,random,12
20,random,9
20,random,6
20,random,15
20,random,8
20,random,4
20,random,1
20,random,21
20,random,1
20,random,6
20,random,22
20,random,21
20,random,3
20,random,12
20,random,20
20,random,5
20,random,4
20,random,15
20,random,23
20,random,3
20,random,19
20,random,7
20,random,12
20,random,1
20,random,8
20,random,15
20,random,1
20,random,23
20,random,3
20,random,4
20,random,4
20,random,18
20,random,2
20,random,13
20,random,19
20,random,1
20,random,17
20,random,8
20,random,8
20,random,2
20,random,4
20,random,15
20,random,1
20,random,12
20,random,1
20,random,22
20,random,19
20,random,5
20,random,5
20,random,1
20,random,5
20,random,6
20,random,6
20,random,2
20,random,12
20,random,8
20,random,4
20,random,6
20,random,1
20,random,6
20,random,5
20,random,9
20,random,8
20,random,5
20,random,15
20,random,16
20,random,2
20,random,1
20,random,0
20,random,16
20,random,6
20,random,20
20,random,11
20,random,16
20,random,7
20,random,12
20,random,3
20,random,8
20,random,1
20,random,11
20,random,3
20,random,17
